Geneids	Series15_HealthyLungBiopsy_2	Series15_COVID19Lung_2	Series15_COVID19Lung_1
GNAI3	1362	212	6
MIR197	0	0	0
GNAT2	3	0	0
AMPD2	445	11	0
GSTM4	593	12	0
GSTM2	817	0	0
GSTM1	665	0	0
GSTM5	655	4	3
GSTM3	1503	11	0
EPS8L3	0	1	0
CSF1	1010	88	5
AHCYL1	1683	98	5
STRIP1	491	3	0
ALX3	39	0	0
UBL4B	1	0	0
SLC6A17	24	2	0
KCNC4	248	0	0
RBM15	205	10	0
SLC16A4	122	13	1
LAMTOR5	1481	117	4
PROK1	0	0	0
CYMP	0	0	0
KCNA10	0	0	0
KCNA2	1	0	0
KCNA3	45	3	0
CD53	808	1920	96
LRIF1	161	7	0
DRAM2	782	80	0
CEPT1	306	45	1
DENND2D	306	60	2
CHI3L2	129	482	49
CHIAP2	23	0	0
CHIA	93	0	0
PIFO	119	16	0
PGCP1	0	0	0
OVGP1	119	0	0
WDR77	494	14	0
C1orf162	2073	211	25
ADORA3	123	4	0
RAP1A	1933	34	0
DDX20	238	7	0
KCND3	4	0	0
CTTNBP2NL	730	46	0
MIR4256	0	0	0
WNT2B	108	0	0
ST7L	378	14	6
CAPZA1	2361	1076	31
MOV10	1074	110	10
RHOC	9996	99	8
PPM1J	32	0	0
FAM19A3	0	0	0
SLC16A1	360	51	0
AKR7A2P1	0	0	0
LRIG2	127	0	0
LOC643441	27	1	0
MAGI3	299	20	1
PHTF1	234	6	0
RSBN1	347	10	0
PTPN22	41	5	0
AP4B1-AS1	13	0	0
BCL2L15	21	0	0
AP4B1	250	4	0
DCLRE1B	191	0	1
HIPK1	1134	11	0
OLFML3	960	18	3
SYT6	0	0	0
TRIM33	688	27	2
BCAS2	687	34	0
DENND2C	17	3	0
AMPD1	15	0	0
NRAS	827	50	0
CSDE1	10415	313	16
SIKE1	328	21	0
SYCP1	6	0	0
TSHB	0	0	0
TSPAN2	279	5	0
NGF	30	0	0
VANGL1	127	0	7
CASQ2	471	0	0
NHLH2	6	0	0
SLC22A15	57	9	0
MAB21L3	3	0	0
ATP1A1	7592	81	3
CD58	426	26	0
IGSF3	119	12	0
MIR320B1	0	0	0
CD2	235	4	0
PTGFRN	269	2	0
CD101	67	0	0
